file_name,"('f0', 'std', '01')","('mfcc', 'mean', '01')","('mfcc', 'mean', '02')","('mfcc', 'mean', '03')","('mfcc', 'mean', '04')","('mfcc', 'mean', '05')","('mfcc', 'mean', '06')","('mfcc', 'mean', '07')","('mfcc', 'mean', '08')","('mfcc', 'mean', '09')","('mfcc', 'mean', '10')","('mfcc', 'mean', '11')","('mfcc', 'mean', '12')","('mfcc', 'mean', '13')","('mfcc', 'mean', '14')","('mfcc', 'std', '01')","('mfcc', 'std', '02')","('mfcc', 'std', '03')","('mfcc', 'std', '04')","('mfcc', 'std', '05')","('mfcc', 'std', '06')","('mfcc', 'std', '07')","('mfcc', 'std', '08')","('mfcc', 'std', '09')","('mfcc', 'std', '10')","('mfcc', 'std', '11')","('mfcc', 'std', '12')","('mfcc', 'std', '13')","('mfcc', 'std', '14')","('rms', 'mean', '01')","('rms', 'std', '01')","('spectral_bandwidth', 'mean', '01')","('spectral_bandwidth', 'std', '01')","('spectral_centroid', 'mean', '01')","('spectral_centroid', 'std', '01')","('spectral_contrast', 'mean', '01')","('spectral_contrast', 'mean', '02')","('spectral_contrast', 'mean', '03')","('spectral_contrast', 'mean', '04')","('spectral_contrast', 'mean', '05')","('spectral_contrast', 'mean', '06')","('spectral_contrast', 'mean', '07')","('spectral_contrast', 'std', '01')","('spectral_contrast', 'std', '02')","('spectral_contrast', 'std', '03')","('spectral_contrast', 'std', '04')","('spectral_contrast', 'std', '05')","('spectral_contrast', 'std', '06')","('spectral_contrast', 'std', '07')","('spectral_rolloff', 'mean', '01')","('spectral_rolloff', 'std', '01')","('zcr', 'mean', '01')","('zcr', 'std', '01')",file_label
14a07Wc.wav,28.29396439,-331.6552734,21.02316856,-10.70297241,16.97568512,-20.72797585,-1.133294463,-20.32830811,-10.35014343,-13.97994328,-5.16459465,-10.00762463,-8.596231461,2.324909687,-6.140213966,145.6504211,52.42644119,40.67481613,27.33712959,29.06705856,18.97997284,18.9483757,17.08463478,15.4051466,12.79284859,13.71185589,13.65114307,9.56179142,12.61174107,0.075822309,0.066055536,2513.378662,507.432251,3244.886475,1539.550415,12.1060667,16.80324936,18.1926136,19.22816086,18.00318146,16.99298668,20.7782917,4.227958202,8.583317757,6.593383312,6.704931736,5.592352867,4.171616554,4.644610405,6159.489746,1930.429321,0.166766822,0.165201873,1
14a05Wa.wav,32.92801285,-300.7877808,25.90827942,-13.97134781,11.79758167,-26.05640984,7.880185604,-16.98387527,-5.991604328,-15.11105442,-5.042033672,-8.575768471,-4.759753227,2.282007217,-2.400587082,135.1170044,58.28829575,40.21266937,30.05412674,36.04483414,18.62509727,19.7375412,10.78814602,16.31489563,15.50710678,12.0992918,14.57984543,11.41802979,11.84648132,0.091857493,0.081869267,2391.217041,476.0015564,3244.452393,1640.308838,12.36018562,13.69748688,17.2555027,18.32297325,18.50471497,17.45914078,22.13653564,4.73328352,6.528915882,7.276993275,6.382455826,5.751152515,4.08672905,5.434230804,5980.59082,1982.044922,0.181919649,0.165778473,1
15a05Wa.wav,32.14195633,-294.4568787,22.11330605,-18.82270432,10.59990883,-12.90466022,-4.945800781,-18.72943497,-8.759214401,-14.64648819,-2.402427197,-5.339596272,-5.649481297,-6.735197544,6.344230652,134.8273315,57.40904617,38.54876328,32.13143539,27.94327927,19.67271233,18.61172867,16.53360939,16.16774178,13.23905945,12.86273766,11.52709579,10.4388361,10.45549297,0.0751893,0.058121908,2505.404541,427.2784424,3411.065674,1449.276123,11.65662098,16.0687809,17.13225746,17.22405052,17.81416512,19.64211082,19.75460243,4.916752338,6.989282608,7.691250801,5.84921217,4.83344698,4.388371468,3.808401346,6262.166016,1843.868042,0.190902874,0.144783348,1
16b10Wb.wav,31.75523567,-298.2662048,6.421781063,-24.80631065,25.72649002,-32.47426224,-2.027175426,-11.56057072,-7.052587509,-15.78137684,-11.68245983,-3.563376427,-8.428829193,2.618208408,-4.104008198,130.2856598,38.83690643,46.20785141,28.6430397,27.74750328,18.58048058,14.85304546,14.85127354,17.21261597,10.18558598,13.45314121,13.18220329,15.79909325,13.28025341,0.075932041,0.057845071,2476.840332,490.9789734,3702.040771,953.5450439,11.65666771,13.79020405,20.07012749,18.80245781,18.43408966,18.05188942,21.45563316,3.691602707,7.940863609,7.407394886,6.134757996,5.819729328,4.108254433,5.399376392,6501.119141,1235.8927,0.221568435,0.107406139,1
16b09Wb.wav,31.54764938,-367.0635986,-3.16943121,-33.05760956,24.44267273,-43.09368134,-0.677305937,-14.25104427,-3.901575327,-12.07811356,-10.37046146,-5.434061527,-6.357030392,4.022871017,0.397191018,139.9849396,44.59487534,44.95946884,27.56402206,31.64695358,17.92441368,17.67657661,18.17035294,14.8865633,12.05532074,14.39515209,15.64935207,18.9298172,16.91786766,0.051423017,0.053440295,2308.242676,461.3760376,3824.598633,1114.776245,12.58983231,12.43940449,20.82893181,20.18598938,18.82143784,18.90635109,23.37974739,4.382762909,6.42619133,7.170993328,6.662161827,5.313220501,4.280995846,6.267938137,6353.779785,1278.224609,0.260136038,0.139632463,1
08a01Wa.wav,41.09306335,-362.0964966,18.97945786,-25.70573235,8.478590012,-19.50162888,1.11494422,-24.17374039,0.532210171,-14.02903366,-2.077796698,-5.531332493,-2.276849985,-5.923598289,-4.829951763,178.3981018,46.21486664,41.36746979,21.60289192,28.30047417,22.44186401,24.18706131,12.98969841,18.9186058,10.64590263,13.13734341,11.1727953,15.96077728,10.88898373,0.056897413,0.052220866,2515.749023,413.0183411,3205.483398,1183.296265,11.92650127,15.93933868,19.37727356,18.53015709,18.50541115,18.0929203,22.16031647,4.786950111,7.600275993,6.162009716,6.198769569,4.897896767,4.160377502,5.414669991,6083.34082,1468.216187,0.153301165,0.119186997,1
09b02Wc.wav,28.82099915,-245.4414063,67.71283722,-14.77505112,18.60471725,-8.825707436,5.253665447,-11.96705914,-18.05486298,-2.621130466,-6.658980846,-9.036229134,-2.239927053,-0.99589324,-6.581179619,111.9290161,46.27415085,47.35305023,29.48989105,20.36861229,18.30230331,14.88708973,17.1112442,15.47916794,11.32533646,9.960639,14.58303547,10.24471092,10.61837769,0.111765221,0.078568779,2357.98999,650.7405396,2778.697266,1391.502197,11.85010338,16.77990723,15.58902454,16.33097458,16.14805412,16.91841125,19.0615406,4.482520103,7.414358139,6.437508583,5.299907684,3.878971338,2.925542593,3.028934956,5223.053711,2344.946533,0.146632001,0.137177587,1
13b01Wa.wav,32.17006683,-279.2186279,47.3820076,-13.13741207,18.22665215,-3.964527845,-12.9471817,-18.06153297,-10.6917057,-18.18755531,-5.120090961,0.323572516,-8.210627556,-1.578748584,-1.410570741,119.3165207,53.25457001,34.2678299,24.56686401,16.37374306,18.19169998,18.52524185,14.25234985,17.48250198,13.79981899,12.98637962,11.83866787,8.75403595,11.18806839,0.122948445,0.079722382,2352.396729,560.1305542,2723.449707,1514.042114,14.82994175,15.57064629,20.23728561,20.2933445,18.58695221,19.77443695,18.95321846,5.543077946,7.495583057,7.78976059,6.685010433,5.394004822,4.148410797,3.468451262,5010.260742,2318.509033,0.146319315,0.149519965,1
12b01Wa.wav,30.36266327,-303.1117859,42.51772308,-12.9708252,33.41018295,-18.66279793,-16.00551033,-0.950669408,-16.1038456,-13.7972908,-2.803407907,-17.91765976,6.306552887,-8.867631912,2.305935144,137.3602905,64.29133606,39.46171188,36.93043137,20.83420944,22.71066093,13.0657177,20.02945328,13.71775055,17.25697517,13.99129009,11.54562855,15.11482906,8.418627739,0.07053528,0.053560924,2275.494385,462.9505615,3176.825439,1546.022949,12.30322742,15.21213531,15.90594578,16.70840645,17.43985176,20.93234825,18.83239746,5.227561951,7.074373245,5.754257679,4.910552502,4.105023384,4.691555023,2.935959339,5492.504883,1913.571411,0.171023995,0.158761635,1
12a02Wc.wav,27.93721581,-277.6009827,56.77324677,-31.32113838,25.63081741,-23.24826431,-15.24459934,8.995388985,-24.4695282,-12.17796803,-4.83956337,-14.06649494,5.103645802,-9.481104851,3.807142735,143.9832153,48.06612015,46.1733017,37.79068375,20.60741043,24.73697662,16.87067413,22.05724716,12.5791235,17.43595886,12.62893486,11.40482426,12.5872364,8.712258339,0.109190434,0.087083139,2176.358154,513.7566528,2784.48584,1097.398193,12.69873142,15.45256901,18.0454216,17.75905418,17.26501656,20.60059166,17.90738869,4.824347973,6.07228756,6.889234066,5.144787788,5.052831173,4.950558186,2.32980752,5055.15332,1587.938843,0.136464,0.089541279,1
